#<Embryo name> <Cleavage cycle> <Temporal class> <Genes>
bd3 13  - caudal even-skipped bicoid

#Quantitative data
#<Nucleus number> <A-P coordinate> <D-V coordinate> <Fluorescence intensity: channel 1 - cad, channel 2 - eve, channel 3 - bcd>
601 50.01 70.66 105.12 54.30 51.32
602 50.11 12.92 101.57 52.59 33.09
603 50.16 35.75 111.45 64.95 46.26
604 50.20 56.64 103.86 55.67 47.57
605 49.69 39.44 96.77 54.34 40.93
606 49.84 4.10 12.47 5.64 2.88
607 50.36 77.82 98.13 55.11 47.23
608 50.74 47.03 108.89 60.46 47.45
609 50.66 60.30 102.14 50.89 44.80
610 50.40 42.63 101.16 51.36 40.21
611 50.82 16.41 107.60 56.89 36.60
612 50.35 95.13 16.38 7.84 3.92
613 50.58 64.25 104.85 55.23 45.94
614 50.59 89.94 66.70 28.45 21.48
615 50.48 54.11 98.55 44.53 35.10
616 50.57 39.42 103.59 61.44 43.26
617 50.93 3.60 11.89 4.54 2.68
618 50.99 28.05 110.07 59.66 43.68
619 50.72 93.63 22.97 8.84 5.65
620 50.75 1.59 8.40 3.65 2.39
621 51.18 10.39 85.78 39.46 21.39
622 51.25 85.45 81.91 41.06 33.66
623 51.23 67.94 100.72 55.29 45.21
624 51.28 81.49 96.01 49.98 43.60
625 50.65 96.90 9.66 2.86 3.26
626 51.25 43.94 102.45 59.68 41.60
627 51.19 73.93 102.44 52.46 46.26
628 51.49 50.26 110.24 55.82 44.89
629 51.49 54.17 93.93 53.77 42.85
630 51.43 33.78 106.24 51.37 39.78
631 51.62 6.87 32.43 14.61 7.86
632 51.83 24.01 108.10 56.12 38.54
633 51.38 96.20 11.74 4.15 2.30
634 52.23 37.52 104.28 48.84 39.55
635 52.08 19.14 113.29 56.08 39.30
636 52.12 71.17 105.95 52.79 46.84
637 51.86 40.59 110.99 57.95 42.90
638 51.87 1.86 9.61 3.55 2.43
639 51.95 77.02 111.90 55.02 47.33
640 52.19 88.92 68.09 28.63 22.27
641 52.35 14.14 104.16 51.43 31.60
642 52.25 58.11 108.06 54.05 44.94
643 52.13 63.67 103.83 51.35 43.66
644 52.36 29.87 108.40 50.59 40.46
645 52.72 47.13 110.50 56.84 41.08
646 52.54 41.60 107.05 54.55 40.64
647 52.26 33.89 93.21 49.70 39.50
648 53.23 43.83 108.29 51.86 39.27
649 52.33 4.16 12.99 4.90 3.44
650 52.79 79.88 115.13 54.02 46.53
651 52.68 26.65 63.15 25.79 20.08
652 53.04 51.53 108.64 54.70 43.02
653 52.55 10.45 72.88 32.41 16.24
654 53.02 67.05 102.20 49.79 41.61
655 53.35 82.89 95.51 41.02 34.77
656 53.50 55.06 106.04 49.14 40.14
657 53.15 85.70 105.44 43.42 36.23
658 53.36 73.97 109.54 49.51 42.10
659 53.34 21.46 127.40 62.51 39.74
660 53.42 61.08 116.75 54.46 44.09
661 53.22 6.36 24.96 10.77 5.31
662 53.03 3.18 11.25 4.25 2.31
663 53.41 33.60 115.35 54.15 41.02
664 53.42 17.71 112.64 44.88 30.96
665 53.69 77.20 105.39 46.18 39.70
666 53.49 94.05 19.50 6.92 4.18
667 53.36 10.15 71.95 29.21 15.48
668 53.82 24.76 118.24 55.80 37.37
669 53.86 70.54 117.95 56.20 44.80
670 53.85 88.82 74.91 28.22 23.61
671 53.96 29.06 122.87 54.72 41.83
672 54.10 14.66 112.86 45.54 29.08
673 54.25 40.33 116.62 52.52 41.26
674 54.25 36.83 115.76 53.35 39.03
675 54.33 64.01 113.96 50.09 42.43
676 54.03 4.56 15.47 5.51 3.05
677 54.52 57.89 107.79 46.08 38.87
678 54.12 47.51 100.17 41.17 34.76
679 54.60 92.00 37.00 11.50 7.27
680 54.34 18.65 105.04 47.42 35.18
681 54.86 80.71 93.50 38.93 33.67
682 55.19 7.14 33.78 12.44 6.72
683 54.73 11.11 89.45 32.11 18.82
684 54.81 51.74 115.48 47.63 39.52
685 54.85 67.62 115.17 47.77 41.90
686 55.29 84.23 43.87 16.00 18.16
687 55.10 31.77 114.63 48.58 38.12
688 54.63 4.13 15.25 5.48 3.11
689 55.12 44.18 125.68 52.62 41.83
690 55.04 47.82 105.47 49.87 40.68
691 55.15 76.10 103.84 41.96 35.91
692 55.43 22.41 113.39 45.90 33.41
693 55.30 26.70 106.18 44.14 33.55
694 55.25 71.60 106.02 46.80 39.00
695 55.25 95.97 12.51 3.66 2.89
696 55.66 60.30 114.90 45.14 39.36
697 55.43 87.45 83.84 29.26 24.50
698 55.58 16.14 112.69 45.07 30.26
699 55.93 54.36 117.74 45.75 40.50
700 55.99 35.23 126.40 49.86 38.22
701 56.28 38.53 116.23 44.31 35.03
702 55.65 73.17 111.48 37.49 31.66
703 56.35 41.69 122.12 47.89 37.28
704 56.15 63.63 111.46 41.00 37.77
705 56.33 49.70 108.92 40.69 35.38
706 56.18 92.54 34.63 9.83 5.61
707 56.38 67.95 109.40 43.20 37.36
708 56.34 10.75 92.89 29.59 16.37
709 56.65 20.28 123.72 47.13 32.91
710 56.24 79.25 51.36 19.44 20.42
711 56.93 82.05 98.99 35.30 30.93
712 56.53 5.53 16.60 4.99 3.78
713 56.82 45.18 121.06 43.91 36.90
714 56.36 30.67 98.03 36.31 28.99
715 56.63 75.98 111.53 41.85 38.07
716 57.01 89.82 63.24 19.80 14.18
717 57.29 13.97 103.51 36.81 24.00
718 56.74 57.09 123.47 43.02 34.51
719 56.89 26.02 120.89 45.52 34.65
720 57.06 71.52 108.68 39.56 36.02
721 57.10 86.08 101.80 33.54 27.73
722 57.42 17.55 121.55 41.08 31.41
723 57.63 94.03 17.56 5.45 3.74
724 57.42 59.92 115.56 39.60 34.05
725 57.20 31.23 103.70 38.28 30.36
726 57.63 64.98 113.81 38.94 36.28
727 57.50 56.10 115.76 44.44 36.83
728 57.81 9.43 60.50 18.73 11.10
729 57.80 48.02 128.08 48.09 37.51
730 57.81 53.23 110.50 39.02 32.80
731 58.22 79.87 106.58 34.07 31.35
732 58.01 35.21 122.43 43.49 36.95
733 58.54 23.77 119.07 39.74 30.87
734 57.61 4.34 12.88 2.82 2.57
735 58.19 39.13 127.80 42.22 34.10
736 57.69 41.83 66.00 17.15 23.67
737 58.14 76.67 121.90 40.21 38.83
738 58.31 6.43 23.61 6.42 4.14
739 58.55 73.01 112.55 35.53 33.76
740 58.44 68.27 114.31 37.32 34.46
741 58.19 27.64 142.85 47.05 34.04
742 58.64 44.40 126.68 42.14 34.60
743 58.75 20.72 119.32 37.84 32.95
744 58.67 30.70 119.18 38.97 32.86
745 58.73 62.04 129.25 39.79 36.21
746 58.71 84.45 104.38 30.65 26.64
747 58.91 87.99 86.53 23.26 21.45
748 58.95 50.55 127.92 42.16 35.43
749 59.10 91.24 43.04 10.99 8.16
750 58.62 3.92 12.61 3.93 1.72
751 59.12 58.17 117.04 35.77 33.99
752 59.16 11.35 96.43 26.70 15.54
753 59.31 17.63 132.23 39.76 29.60
754 59.44 41.28 136.52 43.66 35.64
755 59.46 14.64 131.43 37.48 25.67
756 58.96 27.01 121.19 45.72 37.57
757 59.60 54.55 129.07 41.31 36.34
758 59.44 65.29 107.54 34.75 30.97
759 59.73 33.36 135.59 41.77 35.36
760 59.98 47.41 124.18 38.75 32.33
761 59.94 70.21 110.73 34.06 32.24
762 59.86 37.07 138.28 41.67 34.57
763 59.72 76.30 114.50 36.12 32.86
764 59.65 6.87 23.11 6.13 3.82
765 59.84 81.39 110.72 33.96 29.66
766 59.66 93.79 21.64 5.50 3.67
767 59.75 4.09 10.91 2.56 2.29
768 60.33 26.24 120.95 36.64 31.37
769 60.46 61.95 129.33 36.94 33.37
770 60.50 85.65 106.16 28.78 24.97
771 60.13 9.78 32.28 12.00 9.62
772 60.41 96.11 10.40 2.40 2.49
773 60.79 30.50 130.10 36.15 31.52
774 60.76 44.16 131.89 40.60 33.77
775 60.64 21.60 128.82 37.36 29.47
776 60.78 51.38 131.68 39.18 33.93
777 60.24 65.58 127.57 37.30 32.08
778 60.25 88.94 31.02 7.73 11.36
779 60.41 7.73 29.32 6.70 3.91
780 60.65 57.44 142.78 44.40 33.14
781 61.07 73.88 117.18 34.11 31.25
782 61.00 13.01 81.76 22.13 15.34
783 60.97 40.15 147.14 43.19 36.01
784 61.13 91.87 32.65 7.52 5.89
785 61.17 78.20 116.50 33.56 31.63
786 60.96 17.36 115.04 30.40 22.53
787 61.35 65.96 125.30 34.17 31.34
788 61.45 4.91 13.12 2.93 2.31
789 61.13 8.49 31.56 8.61 4.93
790 61.39 35.45 132.94 39.35 32.05
791 61.20 88.98 76.99 17.05 14.06
792 61.58 54.49 136.44 38.20 33.36
793 61.78 81.31 108.53 28.45 28.98
794 61.69 60.07 145.40 38.44 35.44
795 61.69 69.39 116.47 30.75 30.61
796 61.77 47.97 130.25 38.71 32.76
797 61.90 94.91 13.87 2.89 2.17
798 62.13 83.92 104.68 27.58 25.62
799 62.01 88.32 69.81 17.01 15.37
800 61.71 12.30 109.94 21.74 16.87
801 62.21 25.94 132.69 36.93 29.23
802 62.14 29.02 142.12 41.79 30.97
803 62.10 9.08 40.66 9.31 5.65
804 61.79 18.80 106.04 26.39 22.16
805 62.10 22.38 137.11 37.53 27.66
806 62.54 42.57 127.31 34.01 31.94
807 62.64 32.74 130.12 35.65 32.40
808 62.49 39.06 145.33 37.60 33.87
809 62.56 63.65 138.13 37.86 32.18
810 62.13 85.50 111.76 25.01 22.87
811 62.60 57.26 149.97 39.27 33.57
812 62.57 72.19 136.24 34.13 32.76
813 62.82 75.91 118.00 31.01 30.10
814 62.46 6.02 17.72 3.83 2.43
815 62.96 16.82 123.27 31.34 24.33
816 62.31 78.50 56.07 12.00 20.07
817 62.69 12.69 81.56 20.29 13.54
818 62.69 18.89 110.69 28.69 20.06
819 63.25 45.53 141.02 37.93 31.32
820 62.65 91.96 25.20 5.27 3.27
821 63.18 53.51 131.71 35.93 29.42
822 63.41 36.37 143.64 36.04 31.41
823 63.39 49.56 144.42 36.72 32.49
824 63.38 67.07 117.04 30.52 27.26
825 63.37 86.94 95.27 21.66 18.94
826 63.01 7.16 18.32 5.32 3.12
827 63.39 60.89 138.73 35.24 32.07
828 63.65 79.38 116.52 28.58 28.63
829 63.64 23.05 137.52 33.17 26.90
830 63.74 82.88 121.22 28.26 25.59
831 63.64 29.25 149.12 38.17 27.28
832 63.46 92.26 28.63 6.55 3.96
833 63.43 5.26 11.82 1.87 2.67
834 64.06 8.80 30.19 6.64 4.14
835 63.46 95.06 11.21 1.89 2.21
836 63.53 12.79 85.43 17.77 12.91
837 63.72 26.73 140.95 36.32 24.81
838 64.43 90.19 45.85 9.40 6.78
839 64.09 71.63 113.15 26.50 28.52
840 64.35 20.28 155.41 33.71 28.48
841 64.21 57.98 131.74 34.24 30.52
842 64.47 16.55 132.20 30.25 22.48
843 64.37 39.91 143.03 36.39 31.56
844 64.35 63.91 120.62 27.81 25.95
845 64.22 4.32 11.52 2.15 1.65
846 64.76 31.21 144.91 35.45 28.50
847 64.65 34.43 148.13 37.70 31.10
848 64.16 96.32 9.59 2.37 2.00
849 64.49 75.85 132.60 30.93 31.21
850 64.32 94.29 13.60 2.68 1.69
851 64.60 6.09 14.19 2.78 1.61
852 64.56 25.98 130.56 29.52 27.18
853 64.93 43.11 146.06 35.98 30.52
854 64.75 51.70 138.24 33.51 30.63
855 64.75 46.79 145.61 33.30 31.49
856 65.13 55.41 130.90 29.12 29.57
857 64.98 13.19 98.68 19.99 13.44
858 64.77 67.61 137.86 34.03 27.42
859 64.96 60.97 142.63 36.34 27.08
860 65.11 86.50 90.07 17.20 16.95
861 65.56 37.43 141.01 32.55 28.51
862 65.52 78.83 119.27 25.86 25.54
863 65.51 82.79 113.50 24.36 24.63
864 65.04 95.36 10.87 1.77 2.05
865 65.14 63.73 131.86 33.15 34.38
866 65.42 70.65 127.52 26.40 27.01
867 65.90 93.67 15.00 2.97 2.13
868 65.68 28.05 136.72 30.97 25.22
869 65.81 22.36 145.68 32.66 23.50
870 66.20 6.77 15.64 2.99 2.00
871 65.96 74.51 124.74 26.90 26.70
872 66.04 10.37 41.69 8.57 5.51
873 66.39 24.74 142.47 30.35 24.55
874 65.85 19.17 148.62 31.26 21.40
875 65.98 48.41 135.64 31.11 25.70
876 66.33 60.53 118.98 28.12 26.80
877 66.13 65.39 134.46 28.31 27.49
878 66.21 90.76 34.46 6.04 4.38
879 66.35 40.65 146.15 32.75 28.25
880 66.05 69.43 120.55 28.68 26.17
881 66.22 16.08 120.15 25.14 17.32
882 66.55 33.77 141.26 32.08 26.38
883 66.44 52.07 147.24 31.77 28.76
884 66.72 43.91 148.82 32.82 28.16
885 66.82 30.66 140.15 29.20 25.76
886 66.78 86.16 80.13 15.83 14.80
887 66.77 56.17 133.69 27.76 27.33
888 67.00 80.81 121.49 24.29 23.12
889 67.28 68.09 132.76 26.97 26.79
890 67.51 13.28 76.48 13.08 10.04
891 67.26 72.17 119.38 25.50 24.70
892 67.20 36.82 155.08 33.32 28.14
893 67.35 46.90 153.47 33.03 30.65
894 67.36 76.80 126.49 27.25 24.35
895 67.07 16.19 139.70 24.07 18.38
896 67.23 19.34 138.56 29.96 20.53
897 67.73 9.29 21.36 4.06 2.84
898 67.78 64.17 126.45 25.61 27.21
899 67.28 89.65 36.57 5.33 4.54
900 67.34 92.77 10.64 2.64 2.61
901 67.39 94.42 10.85 1.79 1.69
902 68.02 21.72 149.58 30.90 23.94
903 68.03 58.11 132.63 26.90 25.89
904 67.97 28.15 147.08 31.26 26.67
905 68.22 49.39 147.43 31.25 28.11
906 67.74 6.36 11.19 1.71 1.75
907 68.04 40.17 150.72 31.91 27.49
908 68.04 52.51 155.52 29.70 28.90
909 68.05 83.17 106.09 18.86 19.17
910 68.11 24.67 153.30 31.59 23.45
911 68.00 18.32 142.06 25.81 21.56
912 68.08 89.85 33.23 5.61 4.62
913 68.49 44.40 143.75 29.81 26.73
914 68.83 61.43 136.78 26.60 26.71
915 68.60 73.02 123.94 22.29 23.21
916 68.64 79.96 125.19 22.32 21.11
917 68.40 84.62 99.52 17.51 15.37
918 68.66 32.75 134.44 29.18 26.61
919 68.91 16.75 125.28 21.85 16.18
920 68.72 92.72 14.18 2.47 1.68
921 68.54 36.51 155.31 32.77 26.79
922 69.19 86.94 58.42 9.99 8.51
923 69.02 69.15 121.62 23.44 24.37
924 69.15 54.49 146.32 28.27 27.67
925 68.57 6.51 12.35 2.40 1.44
926 69.03 76.84 127.94 24.14 23.88
927 69.27 13.29 61.86 11.20 6.82
928 69.34 7.86 16.85 2.15 1.89
929 69.37 9.89 20.70 4.01 3.30
930 69.48 26.64 159.18 30.28 25.57
931 69.45 20.48 154.98 29.47 20.44
932 69.50 90.70 22.32 3.33 2.79
933 69.79 30.14 151.46 29.71 24.91
934 69.60 42.26 151.13 29.70 25.42
935 69.98 47.87 144.14 27.56 25.44
936 69.15 64.82 60.65 13.31 16.18
937 69.96 23.75 157.91 31.93 23.04
938 69.84 57.71 133.26 23.92 24.89
939 69.81 37.16 139.76 28.04 23.69
940 70.10 51.54 146.55 28.16 24.68
941 70.23 66.57 132.50 23.52 25.17
942 70.13 73.82 125.69 22.04 23.44
943 70.12 81.91 105.84 19.29 18.41
944 70.42 63.18 141.43 24.99 25.80
945 70.42 44.96 173.81 29.22 27.18
946 70.40 92.35 13.57 1.70 2.25
947 70.55 12.35 38.48 8.21 4.14
948 70.82 33.67 149.07 29.61 24.88
949 70.43 17.61 130.62 24.59 16.38
950 70.67 40.30 172.43 31.96 27.44
951 70.78 77.56 124.82 21.34 21.54
952 70.42 7.93 13.58 1.65 2.22
953 71.28 69.20 121.87 20.74 23.22
954 71.13 88.45 32.33 5.02 3.61
955 71.21 59.50 134.35 23.51 23.24
956 71.03 9.88 19.38 3.50 2.15
957 71.13 21.09 142.31 23.41 20.21
958 71.01 27.32 174.02 35.06 23.80
959 71.40 55.14 133.60 25.69 24.03
960 71.65 30.39 147.62 28.08 23.49
961 71.50 37.24 155.46 28.70 23.62
962 71.74 44.78 150.17 26.79 24.11
963 71.87 51.41 143.83 27.75 24.22
964 71.66 16.75 101.42 16.51 10.86
965 71.95 72.48 125.13 21.75 22.91
966 71.73 24.74 177.26 31.66 25.01
967 71.38 91.48 14.20 2.03 2.08
968 71.46 8.14 14.49 3.08 1.38
969 72.14 79.62 124.91 20.57 19.38
970 72.04 48.19 160.66 27.41 25.51
971 72.02 12.98 37.95 6.71 4.46
972 72.40 82.69 88.70 13.84 13.86
973 72.10 41.13 158.33 28.08 24.25
974 72.18 64.31 135.51 21.48 23.53
975 72.06 9.86 14.76 2.51 2.05
976 72.52 75.70 134.96 23.36 21.94
977 72.14 89.71 20.01 3.58 2.93
978 72.25 7.74 11.89 1.90 1.40
979 72.73 60.65 147.03 25.26 25.54
980 72.69 90.95 12.99 1.82 1.66
981 72.40 21.87 170.26 28.56 19.44
982 72.68 27.16 173.00 30.63 24.06
983 73.19 33.06 142.09 24.82 21.08
984 72.81 36.52 148.48 26.02 24.38
985 73.14 19.04 137.75 21.60 14.35
986 72.94 57.05 158.82 26.86 24.53
987 73.11 86.73 36.54 5.48 5.08
988 73.33 67.21 131.18 22.56 23.71
989 73.27 15.61 69.00 10.78 7.78
990 73.09 53.75 156.51 26.53 24.41
991 72.82 68.92 118.63 17.42 20.43
992 73.36 10.50 17.57 3.14 2.34
993 73.46 42.34 139.99 23.83 22.12
994 73.21 8.47 12.24 1.76 1.76
995 73.45 23.02 158.61 26.76 18.65
996 73.23 29.83 159.67 30.99 21.56
997 73.56 46.06 164.62 28.43 24.09
998 73.81 70.97 135.66 22.43 22.02
999 73.84 12.76 30.87 5.16 3.03
1000 73.90 49.40 154.18 26.01 24.32
1001 73.62 91.57 10.99 1.17 1.69
1002 73.85 77.91 132.10 20.29 20.02
1003 73.96 64.06 140.90 24.57 22.93
1004 74.15 37.55 150.70 25.98 22.27
1005 74.32 74.10 139.74 22.49 22.09
1006 74.21 25.66 166.49 26.58 20.63
1007 74.35 83.81 64.85 9.29 8.48
1008 74.21 52.10 167.17 29.40 22.83
1009 74.30 59.87 140.74 20.90 22.74
1010 74.04 29.64 155.88 26.06 23.44
1011 74.26 55.77 164.85 26.14 22.70
1012 74.55 88.39 16.86 2.49 2.13
1013 74.88 80.30 109.53 15.29 13.83
1014 74.93 39.95 168.15 27.50 23.87
1015 74.69 19.34 123.87 17.85 12.96
1016 75.01 34.48 162.16 26.71 22.80
1017 75.10 67.90 139.10 22.38 22.16
1018 74.68 10.10 13.38 1.97 1.80
1019 75.17 22.78 169.12 23.87 19.53
1020 75.02 15.32 48.03 8.84 5.40
1021 75.37 31.41 155.19 26.93 21.33
1022 75.21 42.88 171.26 26.91 24.34
1023 75.23 28.11 166.82 28.93 22.83
1024 75.28 46.10 156.74 26.07 21.80
1025 75.31 11.88 19.36 2.69 1.87
1026 75.52 53.57 141.58 23.10 20.63
1027 75.49 64.22 131.31 20.05 21.86
1028 75.74 76.90 121.25 18.56 17.94
1029 75.66 57.70 139.82 22.65 21.17
1030 75.94 49.11 150.22 23.28 22.37
1031 75.49 85.79 26.96 3.59 3.17
1032 75.79 70.76 139.19 19.98 20.14
1033 75.63 61.22 64.64 14.34 15.06
1034 76.23 73.74 127.96 19.48 18.27
1035 76.25 37.99 154.67 25.07 21.77
1036 75.65 88.10 15.21 1.33 1.24
1037 76.07 17.52 73.26 11.78 7.71
1038 76.29 25.06 154.58 25.02 20.51
1039 76.32 82.10 68.20 9.39 8.54
1040 76.25 20.45 130.73 19.07 12.21
1041 76.63 14.56 34.31 5.61 3.94
1042 76.20 89.12 12.39 2.13 1.96
1043 76.55 85.96 24.84 3.36 2.58
1044 76.47 11.83 17.94 2.51 1.81
1045 76.69 34.30 159.85 24.86 21.68
1046 76.83 29.43 158.32 24.43 19.24
1047 76.87 42.08 153.74 24.46 22.11
1048 76.89 59.93 150.52 23.37 21.74
1049 76.99 51.96 161.19 23.71 22.35
1050 77.10 63.36 133.47 21.07 21.29
1051 77.46 66.98 126.29 21.61 19.63
1052 77.28 45.71 145.29 22.74 21.53
1053 77.27 78.79 109.79 14.46 14.76
1054 76.81 88.25 15.21 1.66 2.24
1055 77.35 55.63 152.24 22.46 21.49
1056 77.30 21.64 127.98 17.78 13.22
1057 77.52 70.63 130.51 19.74 19.51
1058 77.69 12.09 15.42 2.32 1.53
1059 78.01 18.25 66.54 9.07 6.99
1060 77.80 26.14 162.17 23.52 17.56
1061 77.92 75.46 122.69 16.89 16.53
1062 78.04 49.31 151.43 23.09 22.29
1063 77.91 82.66 46.14 6.33 5.19
1064 78.09 15.29 33.30 5.34 3.25
1065 78.03 31.75 171.04 26.75 21.47
1066 77.99 37.98 150.47 24.28 20.87
1067 77.52 87.80 10.87 1.31 2.03
1068 78.49 85.78 16.67 2.33 2.33
1069 78.47 34.92 173.88 26.24 21.92
1070 78.38 41.26 162.92 24.81 21.32
1071 78.45 59.07 146.57 22.00 19.89
1072 78.56 22.87 150.54 20.90 15.42
1073 78.89 53.47 130.91 19.93 20.81
1074 78.86 63.46 139.32 19.61 20.34
1075 79.09 28.87 156.65 23.66 19.87
1076 78.78 73.41 130.60 18.76 16.30
1077 79.03 79.07 71.38 9.63 8.67
1078 79.23 46.32 152.09 22.20 21.43
1079 79.10 12.31 13.76 1.69 1.44
1080 79.40 43.21 163.85 24.61 21.28
1081 79.26 70.35 138.76 19.98 18.78
1082 79.71 67.30 129.08 18.89 18.56
1083 78.99 84.04 17.92 1.97 1.97
1084 79.67 19.78 87.01 11.58 7.99
1085 79.68 16.16 28.60 4.35 3.51
1086 79.77 25.40 161.49 22.45 17.11
1087 79.79 32.58 159.43 25.15 20.84
1088 80.18 81.27 34.02 4.46 4.22
1089 79.85 49.38 165.12 24.84 22.01
1090 79.81 38.23 149.50 22.53 20.18
1091 79.95 57.84 147.10 21.73 20.13
1092 79.58 73.49 129.70 19.93 18.55
1093 79.86 76.34 102.36 13.83 12.52
1094 80.38 61.74 137.09 19.44 18.46
1095 80.38 13.49 14.78 2.06 1.76
1096 80.89 83.83 16.93 1.93 2.00
1097 80.55 54.82 155.47 20.13 20.12
1098 80.09 85.89 11.83 1.21 1.14
1099 80.66 22.48 114.35 14.77 12.35
1100 80.99 36.05 158.63 22.56 21.70
1101 80.48 74.87 110.90 14.38 15.40
1102 80.93 51.81 160.58 20.43 19.57
1103 80.92 65.15 160.16 21.57 20.32
1104 80.89 27.57 155.42 20.22 16.79
1105 80.73 42.82 155.10 22.49 18.47
1106 80.84 71.64 125.31 18.00 15.72
1107 80.67 46.21 67.78 11.31 16.20
1108 81.25 77.55 65.53 8.50 7.54
1109 81.38 30.37 169.77 21.67 18.15
1110 81.23 16.52 25.95 3.60 2.14
1111 81.41 39.68 164.89 22.59 20.53
1112 81.57 33.38 169.97 21.58 19.79
1113 81.63 48.76 156.67 22.64 19.89
1114 81.91 19.03 42.57 5.59 4.08
1115 81.71 59.36 148.12 20.05 19.14
1116 81.85 67.40 135.42 18.13 18.75
1117 81.60 13.68 12.69 1.10 1.63
1118 82.22 45.43 155.30 21.63 20.26
1119 82.29 25.82 123.76 15.53 13.57
1120 82.24 56.43 151.58 20.97 19.43
1121 82.30 73.51 109.24 14.49 12.38
1122 82.18 81.24 19.82 2.59 1.93
1123 82.34 22.22 86.96 10.45 8.16
1124 82.29 62.75 145.75 19.72 19.70
1125 82.41 70.46 137.90 16.24 16.16
1126 82.60 42.04 161.36 20.26 20.45
1127 82.62 53.22 151.64 19.94 19.17
1128 82.33 15.19 14.99 1.81 2.15
1129 82.73 37.55 165.02 21.96 19.86
1130 82.72 77.18 60.67 6.82 6.07
1131 82.89 31.23 152.35 20.76 17.43
1132 83.32 34.70 185.49 24.10 19.09
1133 83.41 47.74 157.59 19.97 20.07
1134 82.97 80.30 17.64 1.77 2.51
1135 83.42 64.55 152.69 18.37 18.07
1136 83.12 15.31 12.64 1.73 1.64
1137 83.70 50.83 155.46 21.70 20.96
1138 83.04 17.59 15.71 2.61 2.21
1139 83.37 68.28 156.61 18.92 16.69
1140 83.56 60.08 141.04 19.15 18.93
1141 83.88 29.37 150.58 19.54 14.46
1142 83.63 82.65 11.08 1.46 1.53
1143 83.92 20.12 31.95 4.38 2.90
1144 83.89 74.67 76.56 8.27 6.64
1145 84.03 23.61 75.09 9.25 7.29
1146 83.78 26.49 137.24 17.65 11.39
1147 84.14 39.61 162.18 22.01 18.02
1148 84.12 78.52 27.11 3.51 2.21
1149 84.34 57.31 144.05 17.33 17.37
1150 84.19 16.86 14.70 1.67 1.42
1151 84.13 81.09 15.26 1.91 2.14
1152 84.31 42.78 160.10 19.26 18.41
1153 84.35 54.20 163.62 19.68 20.17
1154 84.49 71.98 88.47 11.09 10.76
1155 84.82 45.61 150.97 19.01 18.11
1156 84.90 36.52 162.90 22.38 18.64
1157 84.70 66.99 145.53 17.48 16.35
1158 84.71 33.50 165.39 20.51 16.95
1159 84.84 63.52 145.99 18.40 17.72
1160 84.70 26.74 105.73 10.74 8.68
1161 84.54 68.75 0.00 0.00 0.00
1162 85.46 48.90 151.25 19.26 19.98
1163 85.46 69.87 125.13 13.20 12.50
1164 85.48 75.89 32.49 3.73 3.24
1165 85.02 18.01 17.04 2.02 0.91
1166 85.23 80.43 12.57 1.63 1.22
1167 85.69 52.54 144.45 17.34 18.72
1168 85.52 30.38 150.46 16.05 14.16
1169 85.70 59.12 167.03 19.81 18.86
1170 85.91 19.88 17.30 2.48 1.86
1171 85.64 22.95 37.22 4.30 3.00
1172 86.22 61.56 142.15 15.52 16.74
1173 85.94 41.65 163.44 20.92 19.59
1174 86.04 38.48 168.93 20.04 18.42
1175 86.13 27.15 85.30 9.76 8.41
1176 85.74 78.14 16.91 1.57 1.71
1177 86.52 56.22 148.25 18.33 18.79
1178 86.42 33.12 162.80 18.75 15.46
1179 86.72 66.97 122.65 13.28 12.98
1180 86.52 64.22 147.67 16.17 17.11
1181 86.65 46.05 144.58 17.75 17.44
1182 86.90 73.93 34.68 3.85 3.80
1183 87.35 37.07 151.00 17.90 16.95
1184 86.60 78.30 14.51 1.27 1.65
1185 86.77 70.22 99.51 9.29 9.35
1186 86.95 24.01 29.98 3.83 2.59
1187 87.68 49.14 136.24 17.12 17.41
1188 87.30 52.92 144.62 16.58 17.95
1189 87.49 43.41 167.03 19.64 18.85
1190 87.69 30.30 99.99 10.50 8.84
1191 87.68 58.91 150.29 17.94 18.23
1192 87.59 26.95 60.41 6.75 4.78
1193 87.93 34.43 147.09 17.64 15.80
1194 87.82 21.04 14.29 1.36 1.67
1195 87.97 40.39 152.80 18.05 17.59
1196 87.54 78.21 12.78 1.22 1.72
1197 88.22 63.13 142.55 14.76 14.68
1198 88.04 71.42 54.11 6.16 4.98
1199 88.05 76.93 13.73 1.51 1.40
1200 88.37 66.06 125.20 12.75 12.91
1201 88.79 68.72 72.65 7.32 6.88
1202 88.58 24.36 21.69 2.82 1.94
1203 89.09 54.67 124.46 15.53 16.43
1204 88.85 45.21 148.70 19.18 16.97
1205 88.48 74.32 20.15 2.11 2.32
1206 89.06 51.18 159.24 18.49 18.64
1207 89.00 60.49 144.37 14.23 14.98
1208 89.04 31.86 112.88 11.30 9.46
1209 89.09 27.63 37.20 4.08 3.34
1210 89.58 37.05 147.66 16.53 14.14
1211 89.40 40.26 173.07 17.57 17.66
1212 89.75 56.94 148.41 16.51 17.28
1213 89.69 71.43 27.73 2.84 2.45
1214 89.45 75.26 11.44 0.94 1.28
1215 90.12 47.87 149.31 16.84 17.03
1216 90.05 34.13 123.72 12.76 11.26
1217 90.01 64.29 124.01 12.17 10.80
1218 89.81 24.69 14.86 2.12 1.41
1219 90.32 43.63 156.99 17.03 16.77
1220 90.50 66.98 60.92 6.33 5.72
