#<Embryo name> <Cleavage cycle> <Temporal class> <Genes>
be5 13  - caudal even-skipped bicoid

#Quantitative data
#<Nucleus number> <A-P coordinate> <D-V coordinate> <Fluorescence intensity: channel 1 - cad, channel 2 - eve, channel 3 - bcd>
139 22.46 8.53 32.96 29.01 86.40
140 22.35 38.67 57.26 49.54 119.25
141 22.51 43.07 57.80 51.02 109.17
142 22.48 53.32 61.76 63.39 103.85
143 22.78 20.78 47.54 41.80 100.22
144 22.74 48.09 57.99 54.41 96.37
145 22.76 74.90 66.46 79.78 100.82
146 23.02 14.71 45.79 40.28 101.99
147 23.19 29.78 55.11 47.38 117.66
148 23.34 35.94 53.88 45.56 93.16
149 23.32 26.18 50.21 39.93 97.72
150 23.23 78.87 59.40 70.78 82.32
151 23.28 63.53 68.28 75.64 101.46
152 23.40 58.21 61.64 63.42 93.82
153 23.42 69.27 68.61 83.16 95.12
154 24.19 32.32 56.15 50.51 98.60
155 24.10 40.78 55.96 55.83 97.11
156 24.01 45.64 66.51 64.23 106.81
157 23.93 53.63 63.18 65.15 93.49
158 24.10 72.68 73.32 87.81 100.94
159 24.04 7.93 38.41 34.40 95.64
160 24.35 49.93 63.64 67.61 95.09
161 24.33 82.29 50.75 62.43 66.05
162 24.55 12.91 45.16 42.94 90.63
163 24.49 19.83 50.91 50.26 103.98
164 24.61 65.69 72.08 83.35 92.07
165 24.58 76.19 75.46 86.08 91.27
166 24.79 23.39 55.08 51.53 99.71
167 24.95 61.25 71.23 75.62 89.23
168 25.26 16.97 50.19 49.17 89.47
169 25.07 57.38 72.00 74.04 98.04
170 25.39 26.96 54.34 52.03 87.70
171 25.27 35.15 58.48 56.41 88.92
172 25.37 68.99 72.73 83.75 83.70
173 25.47 78.80 69.78 80.64 78.64
174 25.55 9.58 43.60 42.36 88.89
175 25.42 44.02 60.58 69.57 88.80
176 25.59 38.62 65.36 70.77 107.62
177 25.62 53.71 68.66 73.98 87.70
178 25.96 72.40 71.48 84.48 79.32
179 25.97 31.02 59.56 63.49 96.99
180 25.96 48.17 68.40 73.07 92.80
181 26.10 81.66 67.28 78.73 78.06
182 26.26 64.65 76.55 84.39 84.16
183 26.39 75.39 74.50 90.50 79.10
184 26.70 22.01 51.10 54.12 81.61
185 26.73 84.45 53.82 63.30 58.07
186 26.91 15.11 50.73 53.22 84.55
187 26.89 40.83 64.76 73.05 85.07
188 26.90 58.42 77.74 82.84 84.96
189 27.02 51.39 69.32 75.71 79.92
190 26.89 61.55 81.59 96.15 92.51
191 27.01 8.05 41.61 44.77 83.47
192 27.07 68.10 76.35 87.63 76.61
193 27.61 11.98 48.92 51.11 76.25
194 27.42 18.86 57.03 62.75 88.28
195 27.33 37.08 61.44 64.16 82.15
196 27.33 44.12 68.92 77.79 86.65
197 27.45 54.76 73.36 80.74 80.23
198 27.58 87.90 32.06 40.85 31.46
199 27.46 25.38 55.91 61.16 83.18
200 27.51 29.00 58.85 60.64 85.28
201 27.29 78.44 80.48 92.28 76.70
202 27.72 33.24 60.44 65.16 77.75
203 27.81 47.61 71.64 85.33 86.26
204 27.84 71.05 84.32 96.66 85.23
205 28.41 80.85 73.97 89.38 64.34
206 28.11 63.57 79.58 88.29 76.99
207 28.21 74.79 77.97 93.17 70.48
208 28.59 85.17 54.73 68.02 49.08
209 28.59 57.18 82.13 95.41 82.42
210 28.80 7.85 49.89 51.41 81.45
211 28.80 66.80 83.25 96.36 74.52
212 28.91 50.40 76.61 89.16 79.75
213 29.04 40.56 71.95 78.47 80.80
214 29.16 22.24 58.16 59.38 72.25
215 29.23 17.73 53.80 58.31 67.01
216 29.23 60.13 80.82 95.21 72.95
217 29.06 36.61 73.70 79.14 82.37
218 29.18 30.55 66.16 74.66 80.77
219 29.20 44.15 71.02 82.92 77.81
220 29.40 26.19 65.02 73.14 77.14
221 29.37 53.98 83.64 95.19 85.99
222 29.43 78.02 88.31 100.60 72.76
223 29.62 11.38 52.52 54.00 71.73
224 29.49 70.08 86.55 97.01 68.04
225 29.81 89.65 32.51 40.32 27.74
226 29.98 14.59 61.51 64.59 81.63
227 29.72 73.34 88.08 99.34 70.31
228 29.87 63.14 88.53 104.66 75.42
229 29.81 83.09 85.60 101.58 67.34
230 30.03 47.37 79.80 94.45 76.02
231 30.37 34.24 66.78 71.72 66.83
232 30.58 57.53 75.71 91.29 64.64
233 30.58 86.43 66.19 83.68 53.07
234 30.53 66.55 88.20 96.75 65.18
235 30.61 76.19 89.01 95.94 63.99
236 30.77 8.34 51.13 54.36 66.98
237 30.67 4.50 38.33 42.38 59.34
238 30.72 29.11 68.57 77.07 74.61
239 30.81 38.98 73.69 83.40 75.54
240 30.76 52.60 81.07 89.88 65.53
241 30.90 81.04 82.84 94.03 55.22
242 30.95 21.36 65.15 65.74 73.04
243 31.00 43.28 78.20 88.53 71.43
244 31.07 70.61 91.94 100.30 67.78
245 31.60 25.56 69.54 80.18 72.25
246 31.55 92.07 22.68 29.23 13.83
247 31.65 17.57 66.14 73.18 73.41
248 31.45 49.40 85.07 96.82 72.74
249 31.41 62.39 88.33 102.67 66.73
250 31.77 13.41 63.10 69.10 75.71
251 31.78 74.03 90.79 92.50 56.51
252 32.18 89.57 45.45 57.80 32.26
253 32.12 30.63 68.26 76.29 62.21
254 32.00 66.88 96.96 112.00 69.39
255 32.10 34.90 75.91 79.83 67.85
256 32.46 45.34 78.13 86.32 61.35
257 32.11 79.41 95.20 107.12 61.41
258 32.19 85.49 80.92 94.41 50.33
259 32.11 57.71 98.26 108.06 68.50
260 32.52 5.36 43.65 51.89 56.39
261 32.22 54.42 87.50 91.70 65.29
262 32.50 9.54 58.90 65.42 68.78
263 32.54 38.48 81.56 88.36 70.17
264 33.04 41.50 79.79 86.12 59.66
265 32.64 22.00 69.35 75.61 69.52
266 32.78 52.98 84.11 83.04 51.81
267 32.88 69.92 90.57 102.32 54.98
268 33.04 60.25 92.33 102.81 60.22
269 32.89 48.92 87.43 95.98 62.65
270 32.99 63.52 98.89 113.59 67.85
271 33.22 83.37 85.97 95.86 46.33
272 33.37 77.06 101.61 101.98 52.87
273 33.28 73.53 102.83 108.36 61.60
274 33.62 17.62 66.66 72.25 61.67
275 33.58 25.68 74.29 75.14 63.29
276 33.50 13.41 65.71 69.66 61.59
277 33.70 30.18 74.26 81.91 60.47
278 33.67 66.27 100.61 107.41 58.85
279 33.84 80.29 98.33 101.38 52.04
280 33.75 34.86 75.33 82.54 58.30
281 33.87 56.27 98.37 105.68 67.94
282 33.84 89.35 61.35 69.11 36.87
283 34.03 51.30 84.92 93.11 56.46
284 34.24 6.75 57.27 63.63 63.65
285 34.38 21.10 78.27 77.97 66.68
286 34.72 10.28 64.88 68.86 63.38
287 34.56 46.72 87.55 88.33 55.30
288 34.58 42.94 88.95 96.05 62.64
289 34.52 71.29 107.56 109.45 57.92
290 34.78 85.43 89.62 97.43 48.65
291 34.59 92.92 29.42 31.16 13.84
292 34.92 38.98 79.66 79.24 56.48
293 34.61 59.60 101.83 110.11 60.58
294 34.96 63.80 97.56 102.46 53.93
295 34.93 67.81 105.98 106.52 57.71
296 34.94 75.22 107.38 107.79 53.59
297 35.02 28.99 81.72 83.17 63.09
298 35.25 82.00 99.99 97.61 46.95
299 35.23 14.37 68.00 74.03 56.40
300 35.36 54.55 93.25 88.45 53.35
301 35.38 24.19 76.45 74.92 58.22
302 35.23 34.92 90.42 91.04 60.02
303 35.57 88.57 81.70 79.68 39.81
304 35.83 78.61 111.80 99.29 50.53
305 35.91 18.20 72.59 68.23 53.81
306 35.61 50.49 97.53 91.85 53.42
307 36.14 91.91 47.53 51.45 26.02
308 36.37 7.98 61.22 62.88 51.36
309 36.29 32.26 86.21 86.73 56.31
310 36.05 61.10 105.60 101.58 52.04
311 36.31 45.67 90.58 83.53 50.27
312 36.20 70.37 105.74 102.06 52.39
313 36.52 57.61 97.17 95.42 47.53
314 36.51 41.49 87.70 85.38 54.25
315 36.44 27.03 90.13 86.19 60.54
316 36.45 73.78 111.92 105.93 48.78
317 36.52 66.32 110.49 108.52 53.73
318 36.40 11.03 67.47 66.23 50.65
319 36.70 21.39 80.60 78.91 58.29
320 36.67 37.22 95.11 87.93 58.98
321 37.15 85.88 89.24 82.58 36.35
322 37.14 15.29 70.64 68.15 50.80
323 36.97 81.92 110.51 101.19 46.98
324 37.08 49.94 97.97 90.73 50.45
325 37.34 11.98 63.93 63.58 42.54
326 37.68 53.35 91.26 84.04 43.94
327 37.29 77.04 105.88 89.10 43.51
328 37.26 63.08 110.05 110.18 51.85
329 37.49 29.77 88.34 85.20 54.50
330 37.49 89.21 87.81 81.49 37.20
331 37.68 4.70 53.35 54.16 42.53
332 37.80 24.62 84.93 83.38 53.13
333 37.85 34.88 89.66 82.72 47.27
334 37.68 68.74 120.36 112.22 51.65
335 37.98 44.84 100.42 91.65 52.97
336 38.09 93.30 39.72 39.31 18.98
337 38.00 72.69 111.28 102.49 45.42
338 38.07 39.98 102.64 90.56 55.48
339 38.50 21.13 76.96 73.03 45.54
340 38.22 56.38 108.79 102.14 49.23
341 38.36 61.13 106.76 96.06 45.63
342 38.56 7.87 66.86 69.61 49.21
343 38.49 48.44 109.13 100.97 49.33
344 38.94 80.00 109.22 87.60 38.31
