#<Embryo name> <Cleavage cycle> <Temporal class> <Genes>
ab16 13  - even-skipped caudal bicoid

#Quantitative data
#<Nucleus number> <A-P coordinate> <D-V coordinate> <Fluorescence intensity: channel 1 - eve, channel 2 - cad, channel 3 - bcd>
139 22.42 71.59 42.29 43.73 86.77
140 22.24 8.86 13.35 19.51 61.31
141 22.33 79.64 43.32 39.57 87.70
142 22.20 20.18 30.19 37.55 107.48
143 22.84 16.87 30.31 39.41 104.24
144 22.78 13.46 25.22 32.12 91.71
145 22.78 25.69 37.79 47.99 128.18
146 22.87 52.51 39.03 47.49 96.96
147 23.12 62.91 41.07 44.43 83.63
148 23.17 28.72 40.53 48.34 124.22
149 23.07 57.54 39.54 47.05 92.95
150 23.18 76.05 42.60 40.34 76.74
151 23.49 38.57 41.45 53.24 122.41
152 23.41 43.07 43.11 56.39 139.12
153 23.38 67.40 44.17 44.74 79.69
154 23.64 83.09 31.07 27.61 60.23
155 23.03 19.88 32.89 44.91 114.23
156 23.56 22.91 42.41 50.88 124.99
157 24.07 31.46 47.92 51.14 119.21
158 24.02 10.40 18.58 26.15 67.34
159 23.95 35.14 44.43 53.76 133.66
160 24.11 46.44 42.04 51.20 104.46
161 24.41 71.20 47.22 45.41 77.19
162 24.11 7.31 12.41 18.41 43.20
163 24.59 79.21 48.80 42.57 74.09
164 24.08 51.29 46.26 47.09 91.09
165 24.55 19.81 36.48 43.87 90.87
166 24.47 14.70 30.79 36.54 83.97
167 24.92 54.79 46.27 47.84 84.00
168 24.69 59.03 46.88 52.09 93.72
169 25.03 75.07 52.28 42.81 70.50
170 24.95 64.73 52.34 50.28 87.92
171 24.98 24.67 42.98 47.22 100.09
172 24.98 41.91 48.75 53.81 123.15
173 24.90 51.09 45.03 49.91 90.44
174 25.63 27.75 48.58 51.43 104.79
175 25.68 68.21 46.56 43.46 65.51
176 25.55 34.96 51.39 58.54 121.51
177 25.51 48.12 52.69 61.15 120.19
178 25.80 38.82 47.73 53.10 107.03
179 25.79 61.01 46.51 46.47 77.09
180 25.92 17.52 42.97 46.19 89.04
181 25.72 31.10 55.63 61.40 124.81
182 25.99 83.41 40.75 33.74 54.47
183 26.01 9.43 26.67 27.77 57.95
184 25.93 13.29 36.10 38.89 77.23
185 26.04 44.10 53.76 55.72 109.03
186 26.28 21.68 43.06 47.58 85.17
187 26.50 73.00 55.95 47.22 68.02
188 26.44 79.88 59.24 46.60 71.05
189 26.60 51.72 58.49 55.86 91.22
190 26.70 56.54 49.70 48.55 70.07
191 27.40 76.91 62.04 45.42 59.26
192 27.07 63.03 56.11 48.13 66.64
193 27.11 25.87 53.03 53.85 90.61
194 27.13 33.48 60.57 60.01 111.43
195 26.72 47.63 52.17 50.47 90.61
196 27.25 37.42 54.41 54.90 96.45
197 27.42 30.05 61.43 57.26 96.27
198 27.59 70.00 63.49 53.75 69.98
199 27.52 15.62 48.23 46.11 74.96
200 27.56 42.36 51.90 52.51 88.03
201 27.35 46.28 57.31 57.87 87.64
202 27.67 66.27 58.66 46.50 58.64
203 27.88 7.97 27.33 25.74 46.14
204 27.75 12.21 42.33 36.78 61.83
205 27.87 59.06 52.87 48.31 66.70
206 27.78 19.32 52.57 49.44 74.86
207 28.09 84.91 59.50 36.48 49.21
208 28.04 23.32 60.77 59.08 94.83
209 28.11 49.56 62.19 55.35 81.77
210 28.30 53.69 58.83 53.64 71.41
211 28.50 81.33 73.09 49.11 60.91
212 28.73 73.68 72.83 52.41 61.80
213 28.63 37.88 67.49 60.52 92.61
214 28.84 27.91 65.98 57.00 82.86
215 28.85 34.57 66.58 58.25 91.14
216 28.91 45.70 63.79 58.21 80.76
217 29.12 62.15 61.01 48.61 56.96
218 29.07 31.42 64.68 58.11 88.25
219 28.72 57.64 52.49 41.37 51.39
220 29.31 11.64 50.07 38.80 58.36
221 28.95 42.19 66.17 59.61 91.72
222 29.47 78.35 73.82 49.19 53.80
223 29.42 18.48 59.76 51.04 69.63
224 29.42 22.04 68.03 56.17 72.20
225 29.43 66.50 68.56 48.69 53.28
226 29.63 15.14 63.38 50.10 68.00
227 29.94 70.48 70.57 48.75 51.66
228 29.68 48.45 65.97 59.37 75.52
229 29.59 40.05 72.06 61.89 96.01
230 29.84 55.32 71.55 61.27 81.32
231 29.97 25.86 70.17 57.91 73.84
232 29.97 51.66 75.32 59.83 73.85
233 30.20 9.13 47.50 36.86 53.07
234 30.14 58.79 64.49 52.35 56.60
235 30.33 36.99 72.59 59.65 80.55
236 30.50 42.86 70.36 61.75 82.81
237 30.52 75.70 77.87 51.32 50.66
238 30.63 33.50 77.93 60.46 76.90
239 30.80 29.78 73.90 60.58 72.84
240 31.04 87.99 56.89 32.50 38.98
241 30.93 45.35 68.05 58.19 75.80
242 31.08 6.52 37.60 30.07 40.84
243 30.90 40.07 72.18 66.71 77.75
244 30.61 62.73 64.41 46.09 49.57
245 31.05 20.56 65.86 57.16 62.34
246 31.13 66.86 75.87 49.97 48.57
247 31.31 23.80 76.16 58.03 63.16
248 31.42 17.41 72.19 57.74 65.10
249 31.46 73.24 79.52 51.49 48.97
250 31.43 79.61 83.91 49.23 48.84
251 31.41 13.38 57.32 45.25 51.51
252 31.53 48.43 70.31 57.55 62.15
253 31.27 52.46 79.96 60.62 68.12
254 31.67 57.50 77.88 60.24 62.66
255 31.48 62.19 69.56 50.63 48.96
256 32.11 27.15 77.59 57.80 62.32
257 31.77 37.36 81.30 65.90 74.98
258 32.19 33.73 89.99 60.05 66.88
259 32.36 83.08 91.25 53.55 51.85
260 32.44 10.00 61.76 40.29 46.10
261 32.30 41.01 83.37 60.81 66.31
262 32.70 30.65 91.07 58.75 59.53
263 32.71 69.61 90.80 57.72 53.61
264 32.41 53.02 97.72 63.84 65.05
265 32.71 6.18 38.59 28.73 34.44
266 32.77 65.86 84.76 53.48 44.46
267 33.03 86.56 70.61 38.80 36.77
268 32.64 45.35 90.62 69.34 75.66
269 33.05 77.76 89.67 54.55 46.74
270 32.85 22.78 76.05 57.37 55.79
271 32.99 61.66 81.25 54.29 45.58
272 33.26 15.50 77.71 52.60 47.86
273 33.35 19.40 80.59 51.85 47.29
274 33.10 37.28 90.60 62.29 63.84
275 33.31 48.52 90.59 63.20 59.33
276 33.17 73.22 91.37 55.28 44.59
277 33.24 91.78 34.54 23.36 27.37
278 33.26 56.90 78.56 56.71 47.31
279 33.41 42.44 97.81 67.13 66.04
280 33.87 12.34 72.01 48.56 47.21
281 33.56 26.00 90.68 55.55 49.74
282 33.71 52.23 93.12 63.74 52.35
283 33.83 28.18 96.39 61.19 52.55
284 33.97 32.67 87.59 59.51 56.57
285 34.24 81.36 98.68 58.96 45.55
286 34.34 89.39 56.14 38.21 36.26
287 34.38 8.28 53.76 35.58 33.94
288 34.35 36.35 104.56 67.05 61.48
289 34.49 46.07 100.04 60.90 50.49
290 34.17 23.00 80.86 56.01 48.80
291 34.59 75.11 91.88 57.06 39.31
292 34.43 66.19 79.43 51.46 39.39
293 34.35 60.14 83.50 56.50 41.80
294 34.80 39.56 103.10 66.32 57.34
295 34.43 70.19 79.03 53.61 37.73
296 34.70 42.54 105.31 69.97 60.22
297 34.86 50.54 108.48 65.80 52.59
298 34.72 55.47 94.54 60.26 48.04
299 34.82 18.01 95.77 61.93 49.42
300 35.04 85.70 87.36 50.32 38.97
301 34.80 24.59 89.34 54.90 45.58
302 35.14 28.44 97.73 62.73 49.22
303 35.44 92.82 37.52 26.54 26.75
304 34.80 63.59 78.22 45.85 34.56
305 35.41 14.74 91.65 61.62 48.74
306 35.24 71.30 80.36 57.58 39.27
307 35.36 20.81 101.68 60.66 48.59
308 35.57 78.26 99.01 62.48 40.77
309 35.61 10.89 72.58 52.97 43.45
310 35.37 33.18 107.98 69.66 55.91
311 35.27 59.99 88.82 54.24 39.20
312 35.48 4.41 32.88 24.45 23.33
313 35.60 63.71 96.91 57.11 40.15
314 35.98 82.12 101.58 58.52 38.07
315 35.96 45.24 116.35 70.32 52.73
316 36.04 37.60 118.23 81.12 63.58
317 36.21 52.67 118.49 71.96 52.90
318 36.20 68.37 93.21 61.29 38.45
319 36.41 49.12 106.30 65.77 46.07
320 36.17 5.47 37.11 28.08 22.15
321 35.89 22.49 91.65 53.72 41.25
322 36.33 89.04 65.03 40.86 31.49
323 36.24 56.23 99.59 63.47 45.26
324 36.00 25.47 93.10 62.22 44.69
325 36.44 74.70 89.51 57.56 35.77
326 36.46 41.96 108.19 68.83 49.05
327 36.41 64.71 88.98 54.51 35.08
328 36.66 17.70 84.05 58.37 39.37
329 36.61 30.97 107.26 68.05 48.57
330 36.28 62.16 87.96 49.56 34.79
331 36.87 59.21 101.36 66.59 40.69
332 36.95 8.54 61.48 48.96 38.32
333 36.58 26.99 91.57 66.14 44.44
334 37.11 71.44 90.98 52.09 31.67
335 36.96 34.98 107.49 78.70 53.82
336 37.20 23.93 89.22 57.30 38.31
337 37.48 84.47 89.97 53.75 34.69
338 36.94 21.76 92.21 58.07 38.99
339 37.59 93.54 35.12 26.71 22.00
340 37.29 79.07 96.82 59.54 35.79
341 37.43 46.79 116.22 72.22 47.57
342 37.80 40.39 108.16 68.87 45.26
343 37.60 66.66 86.86 60.65 35.28
344 37.70 28.39 109.61 71.45 46.73
345 37.59 53.85 105.97 65.36 42.82
346 37.93 62.37 95.22 63.67 37.33
347 37.92 89.29 71.07 44.56 31.49
348 38.05 20.45 99.02 69.55 44.19
349 37.83 51.26 91.99 56.01 34.57
350 37.86 81.33 82.39 45.07 28.41
351 38.33 44.87 112.38 70.42 42.19
352 38.19 6.27 48.66 41.10 28.03
353 38.55 76.16 86.68 61.98 32.40
354 38.30 16.60 87.38 63.08 37.51
355 38.42 32.55 107.88 75.43 44.62
356 38.35 37.16 105.28 67.02 43.21
357 38.11 71.87 84.10 55.84 31.29
358 38.42 58.42 101.70 67.29 37.87
359 38.22 8.16 55.52 35.38 24.43
360 38.92 24.19 93.39 64.81 36.55
361 38.52 65.70 85.17 58.14 32.92
362 38.97 10.43 63.41 50.14 30.77
363 38.88 49.59 102.65 69.21 39.95
364 39.08 54.64 108.30 69.24 38.67
365 38.59 69.04 78.39 55.35 30.49
366 38.77 86.75 94.82 62.73 36.33
367 39.04 27.80 107.97 70.90 40.65
368 39.29 80.30 102.01 65.38 33.39
369 39.59 91.11 63.50 45.79 29.21
370 39.67 13.85 80.36 57.93 31.73
371 39.26 42.33 109.94 73.52 42.67
372 39.65 83.89 108.70 71.90 37.18
373 39.46 62.62 93.67 59.77 34.04
374 39.87 71.53 97.88 72.39 36.76
375 39.76 20.95 92.53 69.02 34.18
376 39.70 35.65 108.36 79.17 46.00
377 39.66 68.16 87.35 62.88 31.05
378 39.60 6.85 48.77 43.33 26.61
379 39.95 39.48 111.80 80.91 42.35
380 39.85 58.53 104.41 68.54 35.10
381 40.18 94.49 32.47 28.22 20.00
382 39.79 17.25 101.52 88.84 43.32
383 39.94 64.22 85.11 60.34 32.49
384 40.24 74.62 94.90 68.64 33.07
385 39.60 86.97 99.58 64.90 39.47
386 40.19 30.76 94.55 72.91 37.95
387 40.05 46.30 108.01 74.82 39.81
388 39.96 43.71 104.85 68.16 38.38
389 40.13 51.78 100.53 75.81 38.79
390 40.24 4.48 31.72 22.74 10.90
391 40.62 27.22 117.15 89.12 42.11
392 40.82 78.09 99.74 71.89 30.46
393 40.45 47.99 96.28 75.12 37.79
394 40.71 59.41 98.33 65.33 32.61
395 40.92 34.13 101.23 78.08 38.82
396 41.03 11.53 71.07 56.74 28.08
397 40.81 55.49 104.90 70.64 34.34
398 41.03 7.52 51.12 46.16 24.50
399 41.13 23.85 90.32 73.07 34.12
400 41.14 87.49 83.86 64.15 34.49
401 41.20 66.04 85.42 66.99 29.14
402 41.35 82.55 87.99 62.70 29.41
403 40.91 51.58 103.52 79.83 35.40
404 41.31 42.21 115.95 83.11 38.42
405 41.23 18.49 81.23 69.29 32.94
406 41.68 61.90 98.37 71.16 32.69
407 41.64 49.81 101.98 81.93 36.20
408 41.88 69.58 85.33 66.38 28.48
409 41.64 92.00 58.00 47.03 26.94
410 41.94 38.73 99.56 78.41 34.81
411 41.94 46.20 101.36 78.42 34.98
412 42.08 14.94 76.95 71.55 29.91
413 41.62 55.52 108.95 74.03 35.97
414 42.15 73.37 81.61 68.31 27.66
415 42.17 31.60 97.16 91.93 38.20
416 42.17 58.17 102.95 74.32 32.86
417 42.01 27.25 88.59 78.97 34.19
418 41.88 53.18 106.04 70.42 31.44
419 42.33 22.56 88.82 77.51 33.00
420 42.36 6.17 47.48 43.37 24.32
421 42.49 35.54 108.50 91.85 39.89
422 42.40 77.86 109.20 85.58 34.32
423 42.56 28.51 94.00 74.32 33.51
424 42.84 11.35 58.27 64.28 26.91
