#<Embryo name> <Cleavage cycle> <Temporal class> <Genes>
cb23 13  - even-skipped caudal bicoid

#Quantitative data
#<Nucleus number> <A-P coordinate> <D-V coordinate> <Fluorescence intensity: channel 1 - eve, channel 2 - cad, channel 3 - bcd>
139 21.47 71.09 84.20 48.65 90.82
140 21.61 23.46 59.85 28.20 117.60
141 21.81 43.54 82.58 39.99 120.57
142 21.70 27.96 64.80 29.13 113.36
143 21.35 40.49 77.70 36.29 116.73
144 21.73 81.82 69.25 38.96 64.24
145 21.69 14.49 35.77 17.85 88.32
146 22.55 20.65 55.18 25.89 103.76
147 22.24 67.42 91.37 49.38 91.01
148 22.21 12.96 34.42 19.32 89.57
149 22.07 49.32 92.09 42.68 118.25
150 22.43 63.47 100.87 49.74 99.29
151 22.21 33.90 81.11 33.84 122.14
152 22.76 79.02 82.98 45.66 68.26
153 22.62 59.59 101.58 48.68 103.47
154 22.85 37.69 86.93 37.04 115.10
155 22.80 17.27 53.04 24.41 102.44
156 22.78 55.91 102.27 44.76 101.38
157 22.89 46.37 98.19 44.02 118.49
158 22.58 74.62 91.14 50.49 76.66
159 22.96 26.14 73.16 30.82 112.55
160 23.04 40.94 88.35 39.22 114.29
161 23.08 85.14 60.79 34.20 52.02
162 23.32 30.64 76.97 31.56 109.05
163 23.18 71.33 108.04 54.46 90.80
164 22.88 34.30 76.38 33.81 120.36
165 22.89 49.58 97.12 42.79 109.81
166 23.13 76.12 100.44 53.47 79.38
167 23.09 67.79 92.88 43.92 79.08
168 23.69 13.90 50.97 22.93 91.67
169 24.00 82.06 85.88 46.00 62.85
170 24.05 53.67 115.11 50.15 108.97
171 24.14 44.20 98.82 40.95 108.48
172 24.14 50.91 103.73 49.18 110.32
173 24.00 62.74 113.56 53.04 95.39
174 23.43 65.32 55.83 28.17 54.17
175 24.22 24.00 75.89 30.01 104.74
176 24.10 34.47 91.12 36.45 108.40
177 24.31 59.33 116.66 50.66 96.50
178 24.47 47.93 107.34 47.33 110.34
179 24.56 65.92 115.32 53.54 87.01
180 24.55 69.73 109.60 53.43 77.95
181 24.47 20.45 70.08 28.21 97.77
182 24.64 28.36 90.95 33.32 109.36
183 24.29 75.18 104.89 58.01 81.00
184 24.76 16.71 64.78 25.00 91.20
185 24.74 38.12 104.65 43.01 115.79
186 24.87 56.43 128.12 54.10 103.49
187 25.10 78.24 111.30 53.91 61.67
188 25.06 41.56 104.76 45.08 105.36
189 25.35 32.10 98.63 36.58 101.50
190 25.43 12.48 53.43 20.68 75.52
191 25.34 73.38 113.54 60.36 76.07
192 25.32 81.91 104.08 52.52 59.26
193 25.86 46.09 117.64 47.33 97.30
194 25.76 62.53 135.93 59.85 89.97
195 25.81 25.94 91.86 32.66 104.98
196 25.92 50.20 121.07 50.56 94.43
197 26.02 54.43 131.97 56.12 96.74
198 26.17 35.57 106.07 40.23 97.73
199 25.96 84.19 90.07 39.60 47.74
200 26.15 22.23 85.93 29.83 90.88
201 25.80 75.54 125.23 52.48 72.83
202 26.25 58.89 136.96 57.64 91.24
203 26.23 66.49 132.74 61.49 81.19
204 26.30 17.06 73.47 26.93 83.92
205 26.33 70.15 124.29 59.05 79.87
206 26.48 87.92 69.08 30.24 37.56
207 26.46 39.07 117.66 41.21 100.65
208 26.67 29.24 106.30 34.99 95.19
209 26.70 43.01 121.63 45.01 101.76
210 26.84 81.36 122.28 55.96 62.45
211 26.99 77.88 127.22 59.77 65.85
212 26.88 73.74 140.63 63.04 76.72
213 27.21 32.82 115.47 39.54 99.46
214 26.92 11.81 67.86 25.50 79.62
215 27.29 52.62 150.46 57.83 94.13
216 27.45 19.93 97.00 33.23 93.49
217 27.34 13.29 68.53 25.77 70.48
218 27.41 63.23 138.52 62.45 80.51
219 27.54 26.00 104.80 34.48 88.94
220 27.58 56.12 151.05 60.32 91.16
221 27.54 46.22 141.33 52.35 99.22
222 27.80 49.69 152.04 54.29 89.06
223 27.30 85.26 108.64 47.64 51.35
224 28.03 66.93 151.52 65.62 77.01
225 27.96 37.04 122.78 43.07 95.67
226 28.11 59.88 149.62 63.72 83.97
227 28.04 40.76 135.87 47.44 98.15
228 28.54 89.37 73.08 34.93 35.04
229 28.16 15.91 87.30 27.09 76.88
230 27.96 70.11 146.99 62.40 74.85
231 28.44 23.12 112.55 35.37 93.87
232 28.37 30.17 117.23 39.13 90.06
233 28.44 76.28 167.16 69.72 73.55
234 28.62 72.98 157.65 67.78 74.38
235 28.49 83.24 134.74 64.27 59.73
236 28.18 86.24 121.90 54.21 49.76
237 29.19 80.05 138.36 61.70 55.99
238 28.79 11.75 76.34 25.74 66.49
239 29.00 34.27 122.61 42.23 84.09
240 29.28 42.81 137.75 50.38 91.39
241 28.96 45.54 155.08 59.84 98.82
242 29.29 51.75 147.05 55.72 80.76
243 29.13 63.70 153.47 67.86 80.61
244 29.17 18.70 105.53 30.47 82.57
245 29.11 55.77 166.42 64.06 90.55
246 29.49 26.56 110.23 37.27 80.66
247 29.12 48.25 159.38 58.63 94.74
248 28.98 70.43 150.16 60.31 63.64
249 29.64 38.54 136.25 47.04 86.04
250 29.84 58.89 162.11 68.41 82.56
251 29.31 83.24 139.15 57.91 51.65
252 29.97 86.02 124.35 57.92 48.86
253 29.80 68.62 162.30 76.59 75.26
254 29.80 30.47 131.00 43.89 87.95
255 30.19 14.38 98.91 29.89 70.51
256 29.97 22.18 116.39 37.24 86.94
