#<Embryo name> <Cleavage cycle> <Temporal class> <Genes>
ac21 13  - even-skipped caudal bicoid

#Quantitative data
#<Nucleus number> <A-P coordinate> <D-V coordinate> <Fluorescence intensity: channel 1 - eve, channel 2 - cad, channel 3 - bcd>
139 21.29 32.16 51.57 45.01 113.72
140 21.30 23.91 37.83 30.49 89.34
141 21.32 37.26 55.13 50.72 138.00
142 21.56 71.27 55.31 66.14 120.77
143 21.80 40.02 55.86 47.11 121.00
144 21.65 80.41 17.25 29.44 44.62
145 21.78 20.39 27.84 21.97 69.26
146 21.68 63.63 60.18 59.84 118.66
147 21.74 68.05 56.00 66.16 118.60
148 21.85 76.61 41.89 54.99 99.49
149 22.16 42.80 56.74 47.63 116.27
150 22.09 54.91 65.98 57.82 130.30
151 22.16 45.88 64.77 54.34 133.58
152 22.29 83.08 11.37 24.40 25.24
153 22.22 30.03 47.75 42.95 105.82
154 22.22 49.21 60.95 54.06 126.72
155 22.13 59.51 62.06 59.88 124.42
156 22.37 17.24 12.62 12.50 37.24
157 22.55 26.88 48.10 37.66 94.39
158 22.51 35.30 56.80 48.59 116.19
159 22.87 73.50 60.17 68.07 112.00
160 23.03 52.20 66.86 60.08 131.85
161 22.99 23.24 45.78 33.05 84.49
162 23.11 66.67 64.33 62.89 116.24
163 23.29 57.49 67.62 60.31 121.68
164 23.05 62.98 68.77 63.97 129.11
165 23.53 81.03 30.33 40.31 60.91
166 23.48 38.93 58.52 50.23 116.12
167 23.71 33.65 57.09 44.67 102.22
168 23.70 70.31 65.42 66.27 107.31
169 23.56 77.16 50.11 56.41 88.23
170 23.36 15.17 10.00 9.54 22.51
171 23.50 46.01 61.40 51.77 117.50
172 23.94 60.22 76.71 64.54 130.64
173 23.93 30.39 55.81 44.15 107.13
174 24.10 55.27 66.49 57.47 116.14
175 24.06 42.51 59.14 48.78 104.71
176 24.27 20.92 38.63 27.91 71.47
177 24.23 17.25 18.68 15.14 44.13
178 24.35 49.76 69.60 54.06 110.24
179 23.83 63.35 65.05 64.86 117.36
180 24.58 24.66 49.84 37.96 82.28
181 24.58 27.67 57.79 43.65 98.72
182 24.17 47.10 65.76 57.85 115.53
183 24.73 37.05 60.44 47.42 102.91
184 24.69 65.62 68.01 65.25 109.27
185 24.67 74.39 60.19 63.75 92.51
186 25.02 83.39 23.21 34.23 44.33
187 24.83 14.50 10.28 9.83 21.63
188 25.08 53.15 83.06 64.19 130.74
189 25.22 62.27 70.23 59.46 104.15
190 25.24 45.63 68.54 54.84 104.27
191 24.90 68.91 73.50 63.42 107.67
192 25.24 79.20 50.87 61.18 79.68
193 25.41 58.67 70.03 54.36 98.85
194 25.37 32.39 61.91 45.79 100.12
195 25.73 39.75 67.55 50.06 101.19
196 25.88 72.08 77.46 71.15 104.43
197 25.94 42.61 74.13 56.42 109.02
198 25.43 13.93 12.12 9.47 19.90
199 25.87 18.55 32.56 21.51 54.64
200 26.08 22.02 47.09 33.47 71.28
201 26.22 48.24 76.84 58.58 110.14
202 25.75 68.70 71.66 67.75 96.17
203 26.15 35.15 73.46 53.75 106.38
204 26.34 55.14 80.26 59.24 105.83
205 26.23 29.09 62.70 43.66 90.07
206 26.32 51.34 73.95 57.54 105.46
207 26.27 75.96 71.07 68.67 95.11
208 26.67 15.14 21.98 15.83 38.75
209 26.53 25.20 58.29 39.83 79.84
210 26.43 65.43 82.67 66.55 105.30
211 26.47 86.22 16.58 28.94 25.98
212 26.95 83.49 39.50 46.86 58.11
213 26.76 57.97 96.82 66.27 123.45
214 26.98 62.25 82.59 61.74 101.76
215 27.03 79.38 62.48 62.69 81.81
216 27.20 37.59 80.00 52.63 99.88
217 27.14 45.10 74.87 54.85 97.58
218 27.25 68.45 87.13 67.51 101.07
219 27.26 32.29 73.27 48.32 91.23
220 27.49 71.74 92.48 74.49 103.20
221 27.79 40.62 75.95 49.93 84.65
222 27.68 18.53 48.24 30.47 59.63
223 27.75 27.03 69.81 43.44 81.85
224 27.77 49.49 90.79 63.37 110.12
225 27.87 75.38 72.37 69.25 86.21
226 27.89 53.41 84.01 55.54 99.39
227 27.99 22.41 60.75 34.27 66.67
228 28.01 59.79 100.91 69.02 111.71
229 28.17 87.61 19.14 28.75 23.54
230 28.24 56.72 101.18 64.84 108.20
231 28.31 34.91 79.61 51.41 94.21
232 28.40 64.87 84.80 60.75 92.85
233 28.63 13.01 23.14 14.54 31.25
234 28.61 30.43 84.44 53.58 86.14
235 28.44 81.60 69.51 72.64 78.13
236 29.30 16.35 44.93 25.72 49.36
237 28.85 42.97 86.42 58.76 97.43
238 28.76 46.13 79.50 56.74 92.00
239 28.31 85.56 27.31 36.59 31.29
240 28.94 67.88 93.87 68.72 94.40
241 28.96 61.82 94.07 66.17 100.43
242 29.37 79.17 65.77 65.61 65.36
243 29.05 72.12 86.32 73.23 91.52
244 29.35 37.45 78.10 52.15 84.46
245 29.37 52.30 88.66 58.92 95.53
246 29.30 27.36 77.60 48.09 78.15
247 29.21 49.32 83.19 63.09 98.36
248 29.39 84.58 54.39 56.62 57.30
249 29.55 23.98 68.82 39.50 67.50
250 29.52 20.18 67.23 40.36 66.95
251 29.54 75.22 87.31 68.71 83.91
252 29.76 55.73 108.68 69.13 106.76
253 29.82 33.73 77.86 52.39 87.88
254 30.01 40.30 91.06 55.74 86.09
255 29.89 58.74 101.64 63.22 90.29
256 30.02 88.25 27.16 35.72 30.96
257 30.29 62.90 99.05 67.01 90.69
258 30.23 69.66 101.41 76.72 93.81
259 30.52 13.15 34.21 18.35 37.22
260 30.33 47.65 94.65 65.10 97.55
261 30.50 29.91 85.81 53.43 77.16
262 30.60 65.82 107.43 70.32 88.54
263 30.57 44.59 85.23 53.53 82.79
264 30.22 75.59 88.69 72.50 72.60
265 30.91 53.83 114.54 71.89 104.03
266 31.09 50.71 95.39 61.58 85.36
267 30.87 84.06 72.06 69.02 66.34
268 31.00 19.34 69.12 41.01 67.57
269 31.16 26.63 84.39 50.95 73.75
270 31.20 77.67 81.24 71.25 77.19
271 31.29 72.01 96.95 71.64 87.09
272 31.34 80.74 85.18 73.97 72.25
273 31.08 37.49 84.09 46.94 70.38
274 31.21 59.92 110.25 73.03 98.52
275 31.18 10.36 21.26 13.04 23.13
276 31.48 23.19 77.44 44.45 66.79
277 31.24 33.23 96.64 58.21 85.06
278 31.49 41.90 103.34 65.14 92.34
279 31.74 74.70 93.44 72.56 75.73
280 31.79 56.67 104.77 68.41 89.65
281 31.81 87.22 52.15 48.76 44.19
282 31.89 16.31 64.90 38.86 57.29
283 31.82 68.71 108.71 80.47 92.95
284 31.99 47.44 102.22 62.93 86.26
285 32.11 62.41 107.84 72.10 88.34
286 32.01 39.06 82.16 46.25 59.51
287 32.32 35.23 95.26 56.43 75.41
288 32.17 30.25 91.07 55.39 75.26
289 32.24 66.03 112.76 73.89 85.40
290 32.71 13.47 51.25 25.47 42.98
291 32.53 44.43 112.33 69.53 90.63
292 32.52 53.30 115.55 70.74 90.76
293 32.62 9.77 24.49 15.67 25.22
294 32.68 19.89 70.15 43.62 61.43
295 32.87 81.98 80.02 65.24 56.00
296 32.85 50.22 106.38 64.41 83.21
297 33.00 59.53 108.48 69.05 88.66
298 33.42 28.15 85.48 47.78 61.98
299 32.84 77.47 76.37 62.24 57.91
300 33.12 11.60 45.59 24.00 34.07
301 33.20 24.40 85.31 47.43 63.07
302 33.08 71.46 98.86 72.24 76.14
303 33.16 40.92 105.30 62.30 82.57
304 33.36 87.54 59.39 58.76 51.46
305 33.53 37.71 98.75 57.89 73.19
306 33.38 75.65 91.16 68.83 69.86
307 33.48 65.02 123.79 78.68 87.31
308 33.53 55.54 107.33 70.18 83.97
309 33.60 32.16 94.95 58.23 76.52
310 34.00 16.49 70.10 37.83 52.48
311 33.81 47.01 115.44 71.20 86.18
312 33.74 68.34 105.92 62.33 74.07
313 33.53 90.16 31.00 34.48 24.44
314 34.05 62.42 117.06 74.10 83.69
315 34.36 35.23 88.62 57.53 70.90
316 34.24 78.98 100.48 78.49 70.33
317 33.89 84.23 79.11 70.46 61.98
318 34.15 52.25 123.17 80.37 94.70
319 34.08 8.53 20.52 13.02 19.10
320 34.18 43.94 102.57 63.74 76.74
321 34.15 20.40 81.46 45.62 56.95
322 34.45 57.33 112.60 68.67 78.04
323 34.62 49.54 112.20 78.01 85.34
324 34.52 73.51 99.56 74.48 75.42
325 34.47 13.28 72.54 31.58 45.62
326 34.81 10.76 48.05 24.06 33.66
327 34.87 40.66 100.66 60.63 68.98
328 34.84 25.63 91.21 51.36 62.84
329 34.96 88.95 44.00 48.42 35.85
330 35.04 60.29 114.12 77.39 80.84
331 34.56 68.53 103.10 73.02 67.73
332 34.78 84.87 67.43 70.45 50.09
333 35.42 22.45 87.64 46.49 55.88
334 35.09 31.52 93.37 59.63 70.61
335 35.04 65.44 108.11 72.31 73.04
336 35.24 70.56 100.50 72.78 69.22
337 35.29 81.88 93.82 76.38 63.44
