#<Embryo name> <Cleavage cycle> <Temporal class> <Genes>
ad36 13  - even-skipped caudal bicoid

#Quantitative data
#<Nucleus number> <A-P coordinate> <D-V coordinate> <Fluorescence intensity: channel 1 - eve, channel 2 - cad, channel 3 - bcd>
139 21.10 59.19 57.93 55.64 111.05
140 21.09 35.66 48.39 54.87 155.89
141 21.37 80.54 54.62 30.05 62.24
142 21.47 29.95 50.70 48.91 142.85
143 21.47 19.36 36.01 34.04 114.90
144 21.37 64.05 58.29 54.80 99.87
145 21.53 71.06 68.01 49.80 90.53
146 21.54 52.45 60.27 56.89 115.53
147 21.99 27.04 48.89 49.02 139.71
148 22.07 48.60 57.36 52.81 105.01
149 22.20 38.60 55.49 54.45 135.55
150 22.28 67.32 70.11 55.22 95.59
151 22.32 55.45 61.03 61.58 110.81
152 22.33 61.34 68.30 61.92 111.24
153 22.48 77.45 71.43 43.24 72.75
154 22.56 34.56 56.84 53.89 135.25
155 22.79 15.77 34.36 28.47 90.40
156 22.57 41.73 61.99 56.44 127.24
157 22.91 24.43 49.42 45.89 120.52
158 23.03 31.71 61.32 55.58 137.31
159 22.90 44.79 62.42 57.63 115.33
160 22.92 73.20 76.52 50.27 83.66
161 23.14 58.54 67.61 63.41 104.62
162 23.08 20.84 46.62 43.68 113.03
163 23.34 64.48 84.20 61.93 99.92
164 23.35 81.49 72.17 38.66 63.50
165 23.36 51.89 62.07 54.18 96.24
166 23.56 70.06 80.34 57.37 85.94
167 23.73 29.00 57.40 52.09 122.70
168 23.87 37.16 63.86 54.54 117.55
169 23.63 84.69 57.37 24.21 45.32
170 23.59 47.82 63.09 57.27 100.78
171 23.96 75.94 87.81 53.60 76.04
172 24.10 55.51 75.55 56.74 98.71
173 24.15 40.65 61.83 55.55 114.95
174 24.42 17.96 43.52 36.31 96.08
175 24.36 61.83 75.63 56.75 91.31
176 24.53 67.41 90.40 62.35 91.17
177 24.54 33.48 66.15 54.14 115.66
178 24.58 26.06 63.51 50.99 118.85
179 24.68 79.05 84.95 47.90 66.78
180 25.08 14.27 38.19 32.62 80.72
181 24.74 22.23 50.58 45.54 106.11
182 24.38 46.75 64.94 54.06 91.53
183 24.39 85.29 62.64 29.64 47.44
184 25.00 43.46 70.56 56.83 98.29
185 24.90 50.38 75.40 59.07 94.69
186 25.00 73.35 89.97 52.79 75.01
187 25.09 58.64 78.32 58.72 86.26
188 24.89 86.76 42.31 17.08 27.24
189 25.49 64.94 98.68 67.09 91.37
190 25.51 29.64 64.85 53.03 106.07
191 25.42 83.40 79.64 39.45 54.73
192 25.64 70.35 86.81 54.71 76.35
193 25.75 54.45 74.99 56.44 81.78
194 25.90 39.59 70.92 56.57 97.00
195 25.75 36.24 76.04 62.06 108.58
196 25.98 46.72 73.34 57.69 87.45
197 26.30 76.54 99.44 55.14 69.50
198 26.44 86.88 61.72 28.31 40.18
199 26.25 80.72 95.83 48.88 61.94
200 26.31 20.86 57.03 44.76 89.58
201 26.11 25.54 65.69 52.27 105.12
202 26.27 16.87 60.11 43.41 97.72
203 26.37 62.23 96.94 67.68 86.77
204 26.30 33.26 80.73 63.14 111.62
205 26.59 10.66 35.74 23.78 65.91
206 26.55 50.55 78.24 59.73 85.30
207 26.81 67.94 95.69 62.88 77.57
208 26.77 59.44 96.10 63.46 85.63
209 26.95 43.89 81.03 59.00 87.61
210 27.12 73.72 103.45 59.34 67.53
211 27.19 30.91 77.41 61.35 104.10
212 27.49 56.88 90.22 60.24 82.41
213 27.42 14.16 57.20 38.30 74.96
214 27.50 27.59 81.48 61.89 109.33
215 27.50 64.73 107.68 69.16 82.13
216 27.61 24.17 75.62 52.37 97.25
217 27.65 38.12 91.31 66.31 103.38
218 27.57 53.33 86.01 58.90 76.92
219 27.63 35.09 85.14 59.99 96.13
220 27.77 71.10 104.63 66.17 74.69
221 27.80 83.33 95.45 46.81 52.79
222 28.01 41.37 85.95 61.81 90.61
223 27.69 18.26 70.28 46.67 92.73
224 27.76 79.54 104.77 57.10 63.08
225 28.11 48.87 81.19 56.12 71.26
226 28.40 89.76 48.53 21.75 29.80
227 28.28 20.99 86.51 54.62 89.59
228 28.46 61.69 105.36 65.63 75.54
229 28.83 86.10 78.43 38.67 42.88
230 28.62 76.64 112.54 62.30 64.94
231 28.64 11.55 64.56 36.15 70.25
232 28.76 45.20 92.25 61.07 78.74
233 29.04 33.90 90.54 64.71 83.02
234 28.74 29.52 92.50 63.83 92.10
235 28.95 66.05 113.28 64.31 71.61
236 29.15 69.00 114.10 66.35 70.87
237 29.24 17.68 86.20 48.15 82.31
238 29.11 54.10 90.70 63.39 70.03
239 29.27 58.39 94.32 62.65 70.56
240 29.45 23.04 105.91 59.41 86.71
241 29.43 25.86 95.45 60.37 84.33
242 29.36 38.79 103.58 65.41 87.37
243 29.42 81.04 101.31 55.86 54.13
244 29.68 71.98 120.47 66.71 63.09
245 29.70 14.52 89.46 43.37 67.41
246 29.90 50.46 92.45 61.31 69.31
247 29.97 74.74 133.61 72.34 66.14
248 29.62 31.28 105.53 67.79 91.82
249 30.15 43.09 96.60 64.97 76.46
250 30.17 62.57 109.70 70.27 73.02
251 30.47 10.79 77.13 36.62 56.02
252 30.65 47.40 96.92 60.30 66.80
253 30.46 28.05 110.98 63.95 87.24
254 30.62 21.01 106.04 56.67 74.47
255 30.55 88.49 79.35 45.25 43.10
256 30.72 77.80 107.82 62.86 57.58
257 30.64 35.99 116.17 68.13 86.12
258 30.83 84.66 97.96 51.13 49.90
259 30.70 66.16 123.02 73.27 69.66
260 30.38 31.53 102.64 63.98 79.51
261 30.72 54.28 96.65 62.61 66.55
262 31.04 69.62 125.36 73.41 69.86
263 31.12 39.02 114.44 67.93 79.49
264 31.15 58.19 96.27 63.83 62.22
265 31.10 17.49 103.06 54.00 68.77
266 31.22 81.54 104.09 60.92 51.86
267 31.41 33.24 114.98 68.51 81.14
268 31.44 24.20 106.25 60.80 73.93
269 31.64 13.33 97.38 46.06 59.09
270 31.92 41.88 109.53 69.05 73.20
271 31.79 30.13 121.38 68.14 80.39
272 31.82 60.97 113.86 74.27 65.31
273 31.71 74.07 135.83 74.04 64.88
274 32.18 50.29 99.63 62.76 62.26
275 32.11 45.32 97.17 62.66 64.16
276 32.34 63.92 115.49 72.84 62.74
277 31.97 91.25 60.47 32.48 31.73
278 32.35 26.88 120.90 66.89 73.61
279 32.32 8.35 68.16 31.12 44.31
280 32.33 55.13 105.30 71.09 65.57
281 32.41 20.30 106.78 57.45 67.22
282 32.40 79.44 110.73 72.45 55.88
283 32.37 87.47 83.63 50.19 42.25
284 32.37 67.09 125.23 78.79 64.47
285 32.64 35.78 122.42 68.97 74.05
286 32.51 71.04 128.72 82.12 69.78
287 32.78 16.11 106.19 54.46 57.62
288 33.03 76.36 125.58 76.25 59.40
289 33.21 82.91 92.03 56.82 44.40
290 33.06 38.95 122.56 72.08 73.34
291 32.69 93.11 40.42 21.87 23.91
292 33.23 32.42 123.56 69.93 72.40
293 33.24 23.81 118.18 67.10 69.71
294 33.45 11.77 99.25 47.06 51.32
295 33.39 29.03 124.17 70.17 72.37
296 33.66 57.81 114.34 71.09 60.20
297 33.66 60.95 122.16 78.56 62.07
298 33.78 45.99 103.62 67.24 60.27
299 33.73 53.28 99.67 66.32 57.81
300 33.78 73.31 121.42 73.62 56.62
301 33.96 42.73 112.10 67.99 63.82
302 33.76 67.93 120.85 78.55 60.53
303 34.00 91.69 51.09 31.47 29.16
304 34.13 49.14 103.88 66.18 59.73
305 33.98 86.03 90.51 62.43 47.05
306 34.26 18.33 105.68 64.52 62.23
307 34.28 21.08 112.41 72.46 68.96
308 34.55 63.11 110.46 71.24 52.31
309 34.20 79.39 105.08 73.49 50.33
310 34.54 26.26 126.09 69.96 64.89
311 34.64 15.28 109.28 56.41 53.86
312 34.65 34.54 121.61 70.52 67.65
313 34.80 70.28 115.64 85.50 57.51
314 34.96 37.17 134.09 77.54 70.97
315 34.71 40.11 123.61 73.27 66.55
316 34.78 31.30 126.16 81.22 71.91
317 34.93 8.41 86.56 40.83 41.87
318 35.18 76.80 113.34 81.42 52.83
319 35.15 65.70 129.53 90.09 63.83
320 35.07 88.99 72.85 54.89 37.81
321 35.13 56.22 113.80 78.03 60.83
322 34.84 51.47 104.96 64.19 59.57
323 35.26 11.99 111.44 53.94 47.71
324 35.42 23.09 116.60 70.92 61.53
325 35.57 81.35 87.69 62.15 43.76
326 35.51 73.57 115.12 82.59 55.86
327 35.78 28.84 126.36 82.88 67.68
328 35.43 45.47 114.77 68.99 59.82
329 35.64 52.30 100.33 72.79 56.34
330 35.85 85.09 91.67 66.11 44.23
331 36.07 59.07 120.71 74.50 57.27
332 36.12 48.73 108.39 73.78 56.23
333 36.22 42.67 118.95 72.45 60.92
334 36.48 93.88 37.59 30.85 25.59
335 36.38 20.01 120.10 71.39 56.22
336 36.34 67.82 120.05 94.37 59.89
337 36.50 16.99 107.27 61.48 50.81
338 36.27 39.15 128.04 80.03 65.84
339 36.42 25.69 120.86 73.81 58.69
340 36.49 31.76 120.47 82.03 64.69
341 36.59 70.88 119.41 90.48 56.42
342 36.59 34.92 123.79 73.97 60.21
343 36.59 89.51 70.76 56.86 37.50
344 36.93 61.88 122.52 85.43 56.82
345 36.87 13.79 103.27 59.17 44.48
346 36.41 45.74 107.71 66.67 55.62
347 36.60 54.74 102.14 74.55 54.45
348 36.83 64.74 125.90 94.74 58.99
349 36.82 9.82 100.14 51.36 42.01
350 36.90 77.70 108.50 77.80 49.41
351 36.93 5.73 63.50 29.23 32.54
352 37.12 74.30 121.21 100.61 57.76
353 37.45 81.98 95.34 72.86 42.68
354 37.30 51.30 100.91 76.52 56.58
355 37.47 22.52 119.11 76.83 56.63
356 37.54 28.86 119.11 79.67 59.03
357 37.54 85.44 87.23 67.02 39.96
358 37.63 37.67 134.95 86.32 64.88
359 37.84 40.86 120.56 80.51 60.83
360 37.74 47.63 108.66 74.10 55.25
361 37.90 58.87 119.15 86.97 56.05
362 38.00 91.99 59.50 51.20 32.29
363 38.04 43.88 120.94 81.05 58.52
364 38.11 55.11 113.42 77.07 54.42
365 38.26 7.66 83.35 46.01 36.67
366 38.13 67.53 115.72 87.46 51.02
367 38.23 25.01 127.73 83.84 57.56
368 38.23 32.58 111.65 79.19 56.11
369 38.45 19.05 105.56 72.43 49.26
370 38.22 71.36 110.23 90.71 49.83
371 38.42 78.95 102.92 85.20 45.76
372 38.62 15.44 103.93 66.13 46.52
373 38.54 11.23 96.96 61.43 40.37
374 38.54 63.94 115.48 86.28 51.07
375 38.71 87.85 79.49 66.28 37.47
376 38.73 75.39 108.56 84.78 45.83
377 38.80 36.02 121.47 83.34 58.34
378 38.80 51.33 105.90 77.60 52.51
379 39.20 5.03 60.68 33.06 29.62
380 39.01 27.42 125.46 91.20 57.95
381 39.15 46.38 126.89 83.96 56.55
382 39.33 61.05 114.72 87.73 51.81
383 39.45 22.46 114.13 79.02 48.49
384 39.38 83.84 84.63 76.23 40.82
385 39.58 39.45 123.14 86.89 57.04
386 39.45 57.34 111.93 83.54 52.96
387 39.81 29.82 118.94 86.45 51.45
388 39.55 68.77 121.47 101.58 55.23
389 39.70 90.77 66.90 66.34 33.26
390 39.81 42.70 116.20 80.40 51.88
391 39.86 80.41 94.59 83.82 44.42
392 39.83 72.55 112.20 91.58 48.53
393 40.06 53.43 118.29 84.45 51.35
394 40.06 12.37 90.89 67.23 39.78
395 40.08 32.77 117.56 94.97 59.68
396 40.21 65.88 113.75 91.74 48.80
397 40.24 49.27 114.68 81.75 50.06
398 40.61 8.18 73.65 49.49 29.07
399 40.41 25.42 108.21 77.24 46.58
400 40.33 19.90 105.38 83.96 45.37
401 40.36 76.35 97.86 90.60 44.54
402 40.54 94.31 44.47 43.49 25.03
403 40.35 16.29 101.56 73.56 41.42
404 40.32 36.03 110.22 83.80 51.06
405 40.71 86.25 75.24 74.85 36.56
406 40.76 62.77 117.10 100.64 51.50
407 40.80 46.04 120.93 86.06 51.28
408 41.10 4.45 46.66 29.94 26.68
409 40.90 56.45 120.43 95.73 53.26
410 41.13 59.87 114.82 99.53 51.45
411 40.98 69.93 109.90 103.18 50.02
412 41.37 27.91 111.98 93.84 50.32
413 41.35 39.57 103.27 81.76 48.50
414 41.44 82.59 82.85 85.13 38.77
415 41.55 89.47 71.23 71.14 33.32
416 41.76 23.05 98.41 79.10 41.45
417 41.61 42.48 114.59 83.54 49.70
418 41.75 79.29 92.47 96.32 42.68
419 41.59 51.66 115.22 87.41 49.19
420 41.89 72.54 99.95 97.66 44.62
421 41.69 12.31 92.15 77.01 39.27
422 41.89 30.62 109.15 92.75 48.80
423 41.95 33.50 104.77 86.01 46.94
424 41.91 19.65 100.30 81.67 42.79
425 41.87 36.87 101.75 90.15 47.35
426 41.79 64.83 113.93 100.72 49.55
427 42.09 15.63 91.15 71.64 35.95
428 42.02 76.01 104.58 105.90 47.27
429 42.27 48.61 107.90 83.92 46.32
430 42.37 68.61 97.86 92.38 42.90
431 42.33 54.81 114.80 95.46 48.80
432 42.48 92.80 61.08 60.35 29.41
433 42.58 9.63 81.55 68.34 32.46
434 42.48 45.61 114.96 91.38 51.18
435 42.66 26.21 99.71 90.10 44.34
436 42.51 57.84 98.61 93.23 46.03
437 42.73 85.15 77.48 79.44 37.93
438 42.92 5.96 62.87 47.54 27.13
439 42.82 61.33 100.40 92.46 44.81
440 43.12 65.49 114.32 108.06 48.05
441 43.32 39.69 95.77 84.31 45.53
442 43.21 52.32 115.37 94.87 47.14
443 43.55 88.49 66.51 75.69 33.04
